text,label
Your package has been shipped. Track it here: https://tracking.kerr-parker.net/track?id=jSvdFl,safe
Your invoice for order is ready. Total: $24.70.,safe
Security Alert: unusual activity detected. Act now: http://bit.ly/WHItTi,phishing
"Dear customer, suspended is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
"Dear customer, locked is required to prevent termination. Visit https://verify-account-login.com",phishing
Security Alert: unauthorized login attempt. Act now: http://secure-update-info.com,phishing
You have been chosen to receive a reward. Claim here: http://secure-update-info.com,phishing
You have been nominated to receive a prize. Claim here: http://bit.ly/kataou,phishing
Your PayPal account has been suspended. Login to continue at http://secure-update-info.com,phishing
Your delivery has been shipped. Track it here: https://tracking.gray.com/track?id=TanlGS,safe
Security Alert: multiple failed logins. Act now: http://bit.ly/QHpxOz,phishing
Your package has been shipped. Track it here: https://tracking.gilbert-montgomery.com/track?id=hSnbxl,safe
Your invoice for delivery is ready. Total: $35.64.,safe
You have been selected to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Your invoice for order is ready. Total: $55.69.,safe
Thank you for your payment to Netflix.,safe
Reminder: Your appointment is scheduled at 11:36 PM.,safe
Thank you for your payment to Netflix.,safe
"Hi Nicholas, your gym session is at 01:32 AM. See you soon!",safe
Your delivery has been shipped. Track it here: https://tracking.arnold.org/track?id=oeybrK,safe
Thank you for your payment to Uber.,safe
Your bank account has been temporarily disabled. Login to continue at http://secure-update-info.com,phishing
Security Alert: unusual activity detected. Act now: http://bit.ly/NfpBVm,phishing
You have been chosen to receive a free iPhone. Claim here: http://secure-update-info.com,phishing
Your order has been shipped. Track it here: https://tracking.allen-hernandez.net/track?id=lguhxL,safe
Thank you for your payment to Amazon.,safe
"Dear customer, flagged is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Reminder: Your delivery is scheduled at 12:06 PM.,safe
You have been chosen to receive a prize. Claim here: https://verify-account-login.com,phishing
You have been nominated to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Security Alert: unauthorized login attempt. Act now: http://bit.ly/HfavkU,phishing
Your order has been shipped. Track it here: https://tracking.shaw.com/track?id=EggRzV,safe
Reminder: Your subscription is scheduled at 09:10 AM.,safe
Your order has been shipped. Track it here: https://tracking.nunez.com/track?id=fdWERW,safe
Reminder: Your order is scheduled at 01:56 PM.,safe
You have been nominated to receive a reward. Claim here: http://secure-update-info.com,phishing
You have been nominated to receive a free iPhone. Claim here: http://bit.ly/gCYFuK,phishing
"Hi Alan, your gym session is at 06:09 PM. See you soon!",safe
You have been selected to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Your subscription is confirmed for 06:22 PM.,safe
"Hi Frank, your gym session is at 01:06 PM. See you soon!",safe
